Bot #1 Type,Pruning,Depth,Heuristic,Wins,Mean Turn Time,    Stdev Turn Time,Bot #2 Type,Pruning,Depth,Heuristic,Wins,Mean Turn Time, Stdev Turn Time,    Mean # Turns/Match,Stdev # Rounds/Match,Mean Sec/Match, Stdev Sec/Match
MINIMAX,T,2,RATIO,0,0.0324598278318,0.0108275850913,MINIMAX,T,1,CHAMBER,1,0.00229590429979,0.00117450750379,139.0,0.0,2.42842388153,0.0
MINIMAX,T,2,RATIO,1,0.0058430750013,0.00308903367212,MINIMAX,T,2,RATIO,0,0.00594408695514,0.00296168921046,416.0,0.0,2.44614696503,0.0
MINIMAX,T,2,RATIO,0,0.0739615304129,0.0248788931148,MINIMAX,T,2,VORONOI,1,0.00264457384745,0.00130903101417,153.0,0.0,5.8934879303,0.0
MINIMAX,T,2,RATIO,1,0.133809212981,0.0352914667614,MINIMAX,T,2,CHAMBER,0,0.00210310645023,0.00107192822021,118.0,0.0,7.88510918617,0.0
MINIMAX,T,2,RATIO,0,0.0099528347705,0.00515634979535,MINIMAX,T,3,RATIO,1,0.00475260325841,0.00214804415171,353.0,0.0,2.59361696243,0.0
MINIMAX,T,2,RATIO,1,0.205198237631,0.0832647989209,MINIMAX,T,3,VORONOI,0,0.00306187357221,0.00162848328156,182.0,0.0,18.746598959,0.0
MINIMAX,T,2,RATIO,1,0.248990827593,0.162180182099,MINIMAX,T,3,CHAMBER,0,0.00359699053642,0.00453220760411,234.0,0.0,29.3039648533,0.0
MINIMAX,T,2,RATIO,0,0.011093325842,0.00654435022073,MINIMAX,T,4,RATIO,1,0.00315533332454,0.00167849245173,209.0,0.0,1.48995804787,0.0
MINIMAX,T,2,RATIO,0,0.305066718182,0.213693385731,MINIMAX,T,4,VORONOI,1,0.00406363861901,0.00214173378325,283.0,0.0,43.8885989189,0.0
MINIMAX,T,2,RATIO,0,0.637485257957,0.38568087724,MINIMAX,T,4,CHAMBER,1,0.002820136812,0.00144363914636,183.0,0.0,58.9026079178,0.0
MINIMAX,T,2,RATIO,0,0.00280519658869,0.00143124631154,MINIMAX,F,1,RATIO,1,0.00689623993395,0.00336732729934,549.0,0.0,2.65451097488,0.0
MINIMAX,T,2,RATIO,0,0.0178908624432,0.0070294137081,MINIMAX,F,1,VORONOI,1,0.00458833129927,0.00220639250868,351.0,0.0,3.94741392136,0.0
MINIMAX,T,2,RATIO,1,0.0310702636128,0.0111977193818,MINIMAX,F,1,CHAMBER,0,0.00271111095653,0.0013767615375,170.0,0.0,2.84047889709,0.0
MINIMAX,T,2,RATIO,0,0.00792769783909,0.00411192946282,MINIMAX,F,2,RATIO,1,0.00545618230221,0.00255085075165,411.0,0.0,2.74646091461,0.0
MINIMAX,T,2,RATIO,0,0.0725091117801,0.0307112247879,MINIMAX,F,2,VORONOI,1,0.00209594517946,0.00113068615116,131.0,0.0,4.91983699799,0.0
MINIMAX,T,2,RATIO,1,0.144150682858,0.0452572647244,MINIMAX,F,2,CHAMBER,0,0.00161045096641,0.000663285635694,86.0,0.0,6.12364602089,0.0
MINIMAX,T,2,RATIO,0,0.0131946817423,0.00598095099959,MINIMAX,F,3,RATIO,1,0.00471273645178,0.0022421909637,311.0,0.0,2.78436207771,0.0
MINIMAX,T,2,RATIO,0,0.226657499207,0.113803362214,MINIMAX,F,3,VORONOI,1,0.0026137937199,0.00102496096607,179.0,0.0,20.6293261051,0.0
MINIMAX,T,2,RATIO,1,0.340848588943,0.187398419252,MINIMAX,F,3,CHAMBER,0,0.00297098855178,0.00149450866134,192.0,0.0,32.6659939289,0.0
MINIMAX,T,2,RATIO,0,0.036082470417,0.019021017999,MINIMAX,F,4,RATIO,1,0.00500283348426,0.00237828015398,359.0,0.0,7.38562202454,0.0
MINIMAX,T,2,RATIO,0,0.601876992858,0.385981003184,MINIMAX,F,4,VORONOI,1,0.00269722938538,0.00110253981629,177.0,0.0,53.801872015,0.0
MINIMAX,T,2,RATIO,0,0.824981183097,0.622068848598,MINIMAX,F,4,CHAMBER,1,0.00302686969053,0.00151624743916,209.0,0.0,86.9349589348,0.0
